timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545420801834,4873,Open Login Page,200,OK,Thread Group 1-141,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4872,0,631
1545420801811,4900,Open Login Page,200,OK,Thread Group 1-143,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4900,0,670
1545420801834,4877,Open Login Page,200,OK,Thread Group 1-118,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4877,0,649
1545420801834,4884,Open Login Page,200,OK,Thread Group 1-124,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4883,0,631
1545420801814,4917,Open Login Page,200,OK,Thread Group 1-100,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4917,0,651
1545420801838,4899,Open Login Page,200,OK,Thread Group 1-185,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4899,0,627
1545420801807,4949,Open Login Page,200,OK,Thread Group 1-103,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4949,0,677
1545420801832,4927,Open Login Page,200,OK,Thread Group 1-181,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4927,0,631
1545420801833,4934,Open Login Page,200,OK,Thread Group 1-175,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4934,0,649
1545420801831,4936,Open Login Page,200,OK,Thread Group 1-178,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4936,0,652
1545420802162,4605,Open Login Page,200,OK,Thread Group 1-384,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4605,0,147
1545420802172,4604,Open Login Page,200,OK,Thread Group 1-395,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4604,0,77
1545420801830,4946,Open Login Page,200,OK,Thread Group 1-137,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4946,0,651
1545420801870,4910,Open Login Page,200,OK,Thread Group 1-207,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4910,0,444
1545420801831,4966,Open Login Page,200,OK,Thread Group 1-110,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4966,0,645
1545420801830,4968,Open Login Page,200,OK,Thread Group 1-180,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4967,0,646
1545420801829,4984,Open Login Page,200,OK,Thread Group 1-92,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4984,0,644
1545420801812,5003,Open Login Page,200,OK,Thread Group 1-151,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5003,0,663
1545420801864,4966,Open Login Page,200,OK,Thread Group 1-204,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4966,0,449
1545420801863,4968,Open Login Page,200,OK,Thread Group 1-200,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4968,0,450
1545420802376,4460,Open Login Page,200,OK,Thread Group 1-496,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4460,0,100
1545420801829,5009,Open Login Page,200,OK,Thread Group 1-130,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5009,0,649
1545420802137,4701,Open Login Page,200,OK,Thread Group 1-382,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4701,0,176
1545420802426,4414,Open Login Page,200,OK,Thread Group 1-505,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4414,0,52
1545420802427,4427,Open Login Page,200,OK,Thread Group 1-546,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4427,0,51
1545420802376,4478,Open Login Page,200,OK,Thread Group 1-510,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4478,0,102
1545420801828,5046,Open Login Page,200,OK,Thread Group 1-35,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5046,0,652
1545420801827,5049,Open Login Page,200,OK,Thread Group 1-177,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5049,0,653
1545420801827,5058,Open Login Page,200,OK,Thread Group 1-115,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5058,0,658
1545420801827,5062,Open Login Page,200,OK,Thread Group 1-132,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5062,0,658
1545420802436,4457,Open Login Page,200,OK,Thread Group 1-554,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4457,0,49
1545420801827,5070,Open Login Page,200,OK,Thread Group 1-129,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5070,0,658
1545420801825,5072,Open Login Page,200,OK,Thread Group 1-57,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5072,0,726
1545420801825,5075,Open Login Page,200,OK,Thread Group 1-81,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5075,0,710
1545420801825,5092,Open Login Page,200,OK,Thread Group 1-11,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5092,0,710
1545420802437,4482,Open Login Page,200,OK,Thread Group 1-550,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4482,0,69
1545420802438,4506,Open Login Page,200,OK,Thread Group 1-551,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4506,0,97
1545420801826,5122,Open Login Page,200,OK,Thread Group 1-144,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5122,0,709
1545420802435,4513,Open Login Page,200,OK,Thread Group 1-493,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4513,0,71
1545420801826,5125,Open Login Page,200,OK,Thread Group 1-104,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5125,0,709
1545420801825,5131,Open Login Page,200,OK,Thread Group 1-22,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5130,0,681
1545420802441,4518,Open Login Page,200,OK,Thread Group 1-562,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4518,0,57
1545420802437,4523,Open Login Page,200,OK,Thread Group 1-512,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4523,0,73
1545420802449,4520,Open Login Page,200,OK,Thread Group 1-559,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4520,0,60
1545420802450,4543,Open Login Page,200,OK,Thread Group 1-570,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4543,0,59
1545420802446,4552,Open Login Page,200,OK,Thread Group 1-432,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4552,0,64
1545420802446,4560,Open Login Page,200,OK,Thread Group 1-558,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4560,0,63
1545420802446,4570,Open Login Page,200,OK,Thread Group 1-492,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4570,0,64
1545420802453,4568,Open Login Page,200,OK,Thread Group 1-513,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4568,0,58
1545420802457,4567,Open Login Page,200,OK,Thread Group 1-520,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4567,0,54
1545420802458,4566,Open Login Page,200,OK,Thread Group 1-566,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4566,0,51
1545420802442,4583,Open Login Page,200,OK,Thread Group 1-555,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4583,0,67
1545420802446,4584,Open Login Page,200,OK,Thread Group 1-567,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4584,0,63
1545420802454,4609,Open Login Page,200,OK,Thread Group 1-563,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4609,0,55
1545420802179,4886,Open Login Page,200,OK,Thread Group 1-400,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4886,0,55
1545420802170,4896,Open Login Page,200,OK,Thread Group 1-402,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4896,0,64
1545420801934,5136,Open Login Page,200,OK,Thread Group 1-253,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5136,0,300
1545420801825,5259,Open Login Page,200,OK,Thread Group 1-56,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5259,0,700
1545420802005,5083,Open Login Page,200,OK,Thread Group 1-299,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5083,0,230
1545420801825,5267,Open Login Page,200,OK,Thread Group 1-120,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5267,0,695
1545420801946,5146,Open Login Page,200,OK,Thread Group 1-258,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5146,0,289
1545420801986,5107,Open Login Page,200,OK,Thread Group 1-286,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5107,0,249
1545420801824,5273,Open Login Page,200,OK,Thread Group 1-1,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5273,0,705
1545420801989,5131,Open Login Page,200,OK,Thread Group 1-287,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5131,0,246
1545420801934,5190,Open Login Page,200,OK,Thread Group 1-250,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5190,0,301
1545420801825,5304,Open Login Page,200,OK,Thread Group 1-107,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5304,0,704
1545420801824,5306,Open Login Page,200,OK,Thread Group 1-18,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5306,0,704
1545420802481,4661,Open Login Page,200,OK,Thread Group 1-511,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,4661,0,50
1545420801824,5328,Open Login Page,200,OK,Thread Group 1-10,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5327,0,707
1545420801824,5330,Open Login Page,200,OK,Thread Group 1-173,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5330,0,707
1545420801825,5330,Open Login Page,200,OK,Thread Group 1-136,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5330,0,711
1545420801824,5333,Open Login Page,200,OK,Thread Group 1-95,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5333,0,717
1545420802015,5143,Open Login Page,200,OK,Thread Group 1-306,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5143,0,221
1545420801813,5365,Open Login Page,200,OK,Thread Group 1-159,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5365,0,735
1545420801814,5371,Open Login Page,200,OK,Thread Group 1-172,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5371,0,741
1545420802013,5173,Open Login Page,200,OK,Thread Group 1-284,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5173,0,223
1545420802175,5011,Open Login Page,200,OK,Thread Group 1-379,text,true,,10785,152,978,978,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,5011,0,61
